name	id	x_pca	y_pca	z_pca	x_tsne	y_tsne	z_tsne	x_k2	y_k2	z_k2	cl_pca	cl_tsne	cl_k2	cl_kn
: Almost every woman has noticed blood clots during her menstruation	758	0.04588624	-0.01435817	0.12746592	-10.081499	-0.623872	-10.999909	0.1329587	0.042280402	-0.770197	10	31	1	-1
in matters of state and government control , the exercise exclusive power over the armed forces , foreign affairs , and judicial systems . The Supreme Leader also controls the nuclear arsenal of the country	14	-0.16742185	0.03797729	0.041705284	-7.940837	0.7719753	8.022628	-0.03506505	0.13028845	0.18255416	-1	34	-1	39
is said to have originated from China some 2000 years ago while paneer is said to have originated from the Indian sub - continent . Many personalities around the globe are familiar with tofu because it is available in various outlets as Chinese manufacture and export it to other parts of the world	2077	0.239863	-0.05236339	0.012458889	18.182343	-9.619793	-6.058719	-0.5030465	-0.4872736	-0.4050934	7	6	5	14
a person will be able to optimize the queries in , as it uses hard coded queries	1858	-0.07967276	-0.03982475	-0.01825329	1.9946753	-1.5254658	-5.8276887	0.17350169	0.5084917	0.38907126	-1	38	14	16
is a family affair	290	-0.031442	0.23524325	0.074804045	-16.67043	-6.2927	-2.3722873	0.0601155	0.6715152	0.3209927	-1	-1	-1	-1
is used mainly in fields like education and publishing	1957	-0.05853335	-0.050968297	0.104933955	-8.193151	8.408938	3.806637	-0.0036927427	-0.109907724	0.010224207	-1	9	-1	-1
the appearance of technology has even expanded the capabilities of mobile phones even further . 3 G introduced video calls along with high speed data access that reach speed of up to 384kbps . Those speeds are already in the minimum speed of DSL connections and are more than enough for browsing the internet . The mobile phones that are compatible with 3 G networks have also advanced enough to carry browsers that are capable of processing and displaying whole web pages . Despite having a very small display , the workaround of zooming in still makes the experience worthwhile . The added benefit of 3 G is the fact that telcos are now charging by the minute and some even offer data plans with unlimited access . This made mobile internet basically just like DSL	180	0.24602479	-0.023053546	-0.029089913	12.738775	-9.274713	-1.9527291	-0.59290487	0.10372733	-0.40506765	8	7	8	13
is mashed up resin of the leaves	206	-0.14402416	0.122587845	-0.09097884	1.9172215	-9.977833	7.8637147	0.78259975	0.45738775	-0.07489672	-1	23	-1	-1
may be brought about by man or contaminants may be inherently present in the environment	1467	-0.042921428	0.095787555	0.036746804	-12.853482	0.75751895	-0.57068473	0.01105016	0.40655422	0.34705618	-1	33	19	-1
in terms of color , is a bright , pristine white with no mixes or shades of any other color ‘ “ like pure milk . On the other hand , ivory has a slight tint of yellow or cream	1061	0.0076088198	-0.100325495	-0.038918365	0.97348714	13.202611	8.45026	-0.25925297	-0.06660364	0.13363425	22	41	18	41
in the vase	988	0.1848138	0.03952351	-0.0012069847	6.375092	-10.903708	-7.6218286	-0.05573473	0.498476	-0.15912053	6	24	15	11
water , air , and land degrade the quality of flora and fauna	109	-0.072426185	0.09527898	0.01673203	-13.316522	1.5716226	0.46407726	-0.42000374	-0.2856901	0.77074224	-1	-1	-1	-1
an is an extension to an Intranet where other users who are not necessarily a part of the company are given limited access	1378	-0.118724175	-0.0054577757	0.005973925	-10.107817	11.376085	8.119456	0.09737568	-0.25977895	0.24490467	21	9	-1	17
is a shade of white just like other shades of white like diamond white , ecru , eggshell , cream or off - white	891	0.0050257975	-0.09819037	-0.03838355	1.1243892	12.746005	9.038815	-0.2608309	0.11434108	0.13389072	22	41	18	41
in the case of a . Here , the original table data is copied to space called the ‘ Roll back ’ space before doing the actual data manipulation . Then the alterations are done on the actual table data space	880	0.0034986248	0.07565953	-0.07653661	6.6921067	-10.438616	10.563124	-0.05690154	0.35681948	0.3551292	14	32	-1	24
the focuses on a standard variety of language	711	-0.13475348	0.039402943	0.06166896	-9.725947	8.299396	4.379061	0.00012769211	-0.10578665	0.59805834	-1	9	10	-1
studies both standard and nonstandard varieties of language	1102	-0.1359652	0.048604086	0.06270469	-10.144657	8.196473	4.7306743	0.0072427727	0.109462	0.5837977	-1	9	-1	17
is a type of climate	1664	0.055056296	-0.10256944	0.03310538	-4.317981	11.940824	2.087861	-0.19505094	0.21629637	-0.11990763	16	27	16	33
a huge number of women are opting for shades of wedding gowns . This is because while white can show off the paleness of their skin , ivory white can actually be flattering to their pale complexion	955	0.0060155843	-0.09563283	-0.038270645	1.6543597	12.503244	8.282286	-0.25924337	-0.071405776	0.13018362	22	41	18	41
a is made legal when it involves important issues where a promise can not suffice	374	-0.019415656	-0.17712365	-0.16594276	10.347602	12.784852	2.9030607	0.5639089	-0.7179583	-0.16999258	4	15	4	7
are the newest addition to the conventional e-cigarettes that bring you a wide assortment of vape flavors including tobacco , menthol , fruits , desserts , beverages , etc . They can mix and match e-juices to create personalized vape e-cigarettes tailored for their tastes	332	0.0863842	0.09931172	0.0650519	5.920759	-7.673623	-15.286787	-0.1550901	0.14508796	0.44467017	-1	13	-1	1
is not only used in the consumer market but also influences political , drugs , racism , sexuality , lifestyle and health choices	1871	-0.0832669	-0.13379858	0.18388033	-0.008819085	6.4238772	-12.253371	0.07766669	-0.13944745	0.7268439	18	11	10	18
: The chickenpox is rarely complicated	1303	-0.11820289	0.046363547	-0.19524759	-4.1516457	-12.225026	14.1947	0.48214862	-0.7802837	-0.66556716	15	16	3	9
show the flow of control	1175	-0.10732169	-0.16345252	-0.17322233	10.503983	7.5021715	5.8710766	0.5202821	-0.677669	0.14380233	3	17	-1	-1
are generally more favorable to open immigration policies . Indeed , they do not believe that there should be no control and that anyone should be allowed in the country and granted asylum ; but they believe that the process to request asylum should be quicker and that mass deportation is not the solution to all problems related to terrorism and unemployment	1949	-0.023002576	-0.073650345	0.20593916	-10.262099	7.3429966	-12.512299	0.002766808	-0.3349877	-0.012838423	18	10	21	28
wi-Fi	1511	0.06170102	0.0017427348	-0.09183349	6.3283744	-4.8814683	13.1453705	-0.033253364	0.11738883	-0.29226094	17	32	-1	-1
children	1878	-0.14793432	-0.049453747	-0.062421653	-8.727334	11.64351	9.623518	0.2099506	-0.26626116	0.18629225	19	9	22	-1
are based on philosophy	280	-0.06428468	0.014712478	-0.095906176	3.9885736	0.75686353	16.372799	0.49355972	-0.45078307	0.32766098	-1	36	22	38
: In most cases , a detailed examination is sufficient to confirm the diagnosis . To exclude additional traumas such as fractures , radiography is usually done	963	-0.10023507	0.0770169	0.04239642	-11.280251	6.9369645	6.4345975	0.33360147	0.8605333	-0.6031057	26	9	-1	17
to obtain the value of we have to divide the partial pressure of water vapor and the equilibrium vapor pressure of water vapor at a given temperature	61	0.0024501558	0.00970667	-0.10575316	-2.3938644	1.4955341	15.696867	-0.14632793	-0.013030578	0.50504667	-1	-1	-1	-1
mostly require simple licenses and permits	581	0.20978688	0.04938144	0.13077119	6.2824187	-6.5206356	-7.428932	0.603042	-0.6866522	0.7286039	-1	-1	-1	-1
a is a document given to one after the completion of a course	1278	-0.038310353	-0.09748424	0.10439342	-4.219803	4.8817496	-5.737337	-0.30006975	-0.07096261	0.7467109	29	30	10	36
is a more formal word	1440	0.24295443	-0.014663385	-0.029722614	8.973446	-6.5816126	-3.2248437	-0.54986495	0.48111483	-0.40295666	8	7	-1	13
which eventually would take time	617	0.18543285	-0.09365168	-0.07270817	11.876893	0.31803608	-7.6426206	-0.5789546	0.3413583	-0.1344309	-1	-1	-1	-1
a is managed and optimized by the CPU and the data is accessed in a last-in-first-out ( LIFO ) order . LIFO refers to the method of data storage in memory stacks in which the most recent block of memory is the first to be freed and vice-versa . This makes for efficient memory management	890	-0.12969798	0.04050142	-0.04795167	-4.321303	1.3773859	6.265672	0.642147	0.014511059	0.24425769	-1	-1	-1	-1
democrats	1472	-0.024503214	-0.07785329	0.2086738	-9.834688	7.6974874	-13.603838	-0.11942252	-0.35814652	-0.0227949	18	10	21	28
is concerned with the present state or the \\\\u2018status quo\\\\u2019 . Thinking about the future and adding or eliminating any resources might disturb the current state of efficiency	783	-0.07355905	0.021584978	-0.08310318	3.807888	-0.5803632	-13.409654	-0.08313041	0.6307806	0.4119944	32	-1	-1	-1
the word means being identical , without having any difference	1650	-0.057515007	-0.0634299	-0.017567655	3.5745614	0.54168344	-6.8241158	0.18954526	0.6580101	0.16177478	-1	39	-1	16
means another choice or possibility	1939	-0.02129058	0.20819327	0.018943714	-3.1670194	-18.41831	-2.6721845	0.6975333	0.31948924	0.48470578	-1	22	11	4
the provides more mobility	306	-0.06660919	-0.06881779	-0.07960101	-2.4486136	4.2833605	12.117194	0.041461322	-0.48699352	0.15804593	-1	-1	-1	-1
stocking is not recommended unless one has a refrigerator to cool paneer cubes	1924	0.23901007	-0.05167196	0.016425867	18.75327	-10.248454	-5.942958	-0.4983887	-0.3088299	-0.4008492	7	6	5	14
is not easy to operate	579	-0.09491321	0.14864765	-0.029915998	-3.6953945	-4.8792763	4.113582	0.3221816	-0.34672758	0.4911647	-1	25	22	-1
blood clot	806	0.043934718	-0.013741476	0.13423271	-9.79522	-0.8058279	-11.217661	0.13558699	-0.14326726	-0.77472717	10	31	1	-1
in , net profit per unit is considered	1307	-0.067431	0.09412659	0.01909723	-3.6026	-2.3279674	2.0679255	0.33219653	0.032671377	0.23462687	-1	-1	17	-1
the on the other hand is elected through a popular vote	275	-0.18935871	-0.056749128	-0.083859965	4.968916	6.195823	14.984986	0.48316967	0.5780468	0.6622118	19	40	-1	-1
for swimming-related activities , the would offer more avenues since it is 99 % water and its remaining 1 % land is made up of more than 1,000 coral islands . Hence , the Maldives is also ideal for scuba diving , snorkeling , and under-water walking	264	0.037942432	0.12694947	-0.02907279	0.95560795	-12.664055	-1.2658328	0.5771186	0.36444288	-0.25290015	14	5	-1	6
are monotheistic	443	-0.08464769	-0.020005554	-0.024545839	-5.4833927	2.8045828	11.235237	0.039614152	0.17705354	0.22846682	-1	34	20	39
a is a person who believes in Jesus Christ as the Messiah and follows His teachings	1443	-0.082506254	0.058988146	-0.1625978	0.6120249	-2.4573472	18.064363	0.36696365	-0.60159117	0.71554637	-1	-1	-1	-1
a is mainly subject - centric	797	-0.028015124	-0.09067855	0.10515633	-4.942626	4.502852	-5.5772157	-0.30867878	-0.06257153	0.6944956	-1	30	10	36
a , on the other hand , refers to a restriction on an act or an individual . For instance , the court may issue a restraining order on an individual	297	-0.049602017	0.0053033996	-0.0030852903	-4.955628	-1.6608987	-6.85197	0.36742416	0.4193922	-0.109668314	-1	-1	13	-1
green ones	1359	0.18548986	0.0452556	0.00013571973	5.757623	-10.770869	-7.4671783	-0.058424555	0.49933845	-0.2756612	6	24	15	11
refers to the climate change that occurs due to natural phenomena such as volcanic eruptions , solar output or changes in the earth\\u2019s orbits	1333	0.05856269	-0.0027167515	-0.0790376	5.47293	-2.1059937	16.733223	-0.513081	-0.36535951	0.63122267	17	-1	-1	-1
elements of the , on the contrary , are independent of each other and data can be accessed arbitrarily meaning a memory block can be allocated and freed at any time irrespective of their order .	606	-0.14227144	0.02424911	-0.05170786	-4.3921785	1.5556548	6.570104	0.6518821	0.00598127	0.23038994	-1	-1	-1	-1
started in the throes of the recession period . Thus , one of his biggest priorities during the initial years of his term was to address the financial crisis which began in 2007	563	-0.14693984	-0.054886978	-0.06798089	4.9657893	5.0118847	16.001307	-0.49975565	-0.66291046	0.792224	19	40	-1	-1
is a high-level interpreted programming language	168	0.1193557	-0.118902184	-0.066268794	11.632405	0.8194025	-8.109169	-0.34897408	0.35722333	-0.12112628	-1	19	-1	-1
, also known as high - density lipoprotein , contains more proteins than fat molecules	659	0.26446036	-0.028826548	-0.029996188	14.628646	-8.73636	-2.2994564	0.37617755	0.2944079	0.39185196	8	7	14	13
call them as deviants and wrongful innovations in Islam	1074	0.10700604	0.046953123	-0.0344017	3.1575558	-10.865051	-1.0175731	-0.19854884	0.1695126	-0.28617114	-1	5	-1	-1
: The most common reasons for the appearance of clots during menstruation are sedentary lifestyle , cervix disorders , disturbance of the hormonal balance , presence of an intrauterine device , polyps in the uterus , uterine fibroids , low hemoglobin , ectopic pregnancy , vitamin surplus in the body , etc	1466	0.043893423	-0.015469836	0.13253738	-10.1381	-0.9326384	-10.890048	0.13542455	0.0407059	-0.7737799	10	31	1	-1
are made less secure not only by the use of the Internet as a medium but also by the fact that the administrators of the Intranet have no control over the networks that connect to the Extranet	986	-0.076782644	-0.04448223	0.03251452	-5.0467434	-0.70287937	-6.8509574	0.08640395	0.41537198	0.26357076	-1	-1	19	-1
is by frequent hydration	541	0.28403085	-0.03512743	-0.038250927	15.163537	-3.5724823	1.4022015	-0.604352	0.29831773	-0.20008475	8	7	-1	13
an , on the other hand , may exist regardless of who the manager or members of the company are	1453	0.16281621	0.039805364	0.12338112	5.82298	-6.627443	-7.3456125	0.42746067	-0.34139034	0.30537817	-1	-1	22	-1
support public universal health care and believe that the government should intervene to assist Americans who struggle to cover their health care expenses	439	-0.019329894	-0.078722365	0.20797098	-10.176154	7.3548317	-14.030514	0.0019518734	-0.34344956	-0.015936933	18	10	21	28
a is the sole decision - maker in the business , hence fast decision making	543	0.053123266	-0.03390014	-0.1538485	9.579249	0.2939628	0.16288067	0.86590916	0.96400756	-0.16920209	-1	-1	-1	-1
is directly related to the word alternate	354	0.037174396	0.20936161	-0.00455731	-2.6463757	-19.38556	-2.4041677	0.6874929	0.32542977	0.4971029	-1	22	11	4
- has the better pricing plans with a fewer restrictions and the right combo of extras and add - ons	379	0.079271	0.13989887	0.075814776	2.6209807	-9.776151	-15.912169	0.027202347	-0.80727875	0.069789276	12	-1	-1	1
water travels by means of bulk flow rather than cell diffusions in vessels	1592	0.052901424	0.057962835	0.020329328	-12.780372	-1.447028	4.0650797	0.4122169	0.19086768	0.102512926	-1	33	-1	-1
enabled means if there is a wireless signal , the device can use the Wi-Fi standard to broadcast and receive information . It means anyone can work almost anywhere by using a mobile Wi-Fi device to connect to the internet without wires on-the-go . Wi-Fi is the name given to the wireless devices that are certified to use the 802.11 standard for communication	149	0.0642893	0.00080836925	-0.08930663	6.576599	-4.825493	13.004792	-0.031226791	0.11704204	-0.29343626	17	32	-1	-1
it is the vendor who takes care of everything in a	419	-0.037480388	0.048637882	-0.0150604425	1.3224217	-3.6412063	-6.313882	0.05896359	-0.13706717	0.08170616	14	38	-1	16
believe in individual rights and in the “ survival of the fittest ”	1942	-0.02086722	-0.07538126	0.21208084	-11.294744	7.987284	-14.191989	0.0012916692	-0.3368989	-0.012160287	18	10	21	28
in , major consideration on the cost of producing the next unit is given priority	447	-0.08474843	0.17593482	-0.0007646808	-3.830619	-5.9730124	3.103029	0.33427224	-0.19079623	0.46734196	23	25	22	34
a more often refers to a situation or a problem . For example , a financial constraint is a problem	1579	-0.024888573	0.023730023	0.020181429	-4.891252	-2.3313425	-6.8916464	0.3637974	0.42064118	-0.1039959	-1	-1	13	-1
a piece of art can have several	868	0.031795215	-0.019960184	-0.076875314	4.492929	-3.8712516	4.4066787	0.1973403	1.2184713	0.21469326	-1	-1	-1	-1
the refers to the actions taken to lower the negative consequences of changes in the climate	499	-0.07763072	-0.07890577	-0.02863318	7.1041393	9.859074	-5.163166	0.412642	-0.35493264	0.11468428	24	21	22	-1
is used with plural countable nouns	222	0.24765463	-0.023437906	-0.027205845	14.015237	-5.695084	-3.331603	-0.59046596	0.2869231	-0.401906	8	7	7	13
have precedence to one ’s beliefs	1362	-0.017520854	-0.18251267	-0.17424867	11.267112	13.539767	3.3691418	0.5700365	-0.7162653	-0.17759192	4	15	4	7
hutu	400	0.013525175	-0.1339425	0.100940354	-4.985429	14.18687	-16.009418	-0.34390974	-0.73818874	0.3637166	20	12	0	0
a stores same value for all its members and change of value of one member will affect the value of other	1669	-0.078084975	0.000708562	0.12437557	-13.9636755	10.418874	-10.485845	0.1410165	0.6375471	-0.18514481	-1	-1	-1	-1
are based on religion	1261	-0.06621403	0.017247308	-0.090856984	4.039899	0.76776147	16.403128	0.48109415	-0.44584212	0.3395623	31	36	22	38
the never uses a roll back space and we could not get back to the original data	1027	0.006592993	0.05629894	-0.07306883	6.8782606	-9.940296	11.351008	0.24392556	-0.21460702	0.37337753	14	32	22	24
can directly process scripts	380	-0.017226992	0.16872948	0.036973555	-4.3492293	-20.170576	-3.9775522	0.7795934	-0.6469014	0.3295035	-1	22	-1	-1
a candidate with a has chances of earning more	1204	-0.04128457	-0.0994198	0.11238045	-4.703474	5.186269	-6.1320195	-0.29951027	-0.06911721	0.76073396	29	30	10	36
simply measures the dispersion of a data set . In technical terms , variation is the average squared differences of the values in a data set from the mean . It is calculated by first taking the difference between each value in the set and mean and squaring the differences to make the values positive , and finally calculating the average of squares to render the variance	89	-0.0052796677	0.036772437	0.16725524	-11.979922	0.8814038	-5.886435	-0.51275784	0.10153453	0.63706565	2	33	-1	-1
supports Java Persistence API for all its data needs that is generalized enough to address all portability issues	1185	-0.115156695	0.05110508	-0.1960663	-3.4631336	-12.434331	14.267079	0.4779717	-0.78099495	-0.65526915	15	16	3	9
standard	1906	-0.00978674	0.041357156	0.17654037	-12.194671	1.1785938	-5.873261	-0.5197308	0.28803787	0.64009595	2	-1	9	-1
according to mathematicians , significantly helps in determining the speed of the function by helping in the calculation of instantaneous velocity	614	-0.09529307	0.060679156	-0.12408653	-5.0071983	-12.359798	9.724932	0.43721607	-0.5358733	-0.062809706	-1	29	-1	-1
oppose same - sex discrimination at Federal state level and believe that same sex couples should have the same rights as heterosexual couples , including the right to adopt a child	1917	-0.017659752	-0.073319584	0.20758602	-10.668963	7.5211463	-12.637628	-0.0010568125	-0.33884412	-0.013537796	18	10	21	28
i would like to buy mobile phone	1981	0.2455515	-0.03040382	-0.035608567	13.480429	-3.429933	-3.348396	-0.591863	0.33547077	-0.28311267	8	7	-1	13
are a broad category that encompasses many related disciplines , including history . This category usually includes disciplines from social sciences and the humanities	1529	0.02415128	0.13863961	-0.10377687	-0.7586362	-14.269762	6.5432863	0.38279396	-0.3865565	0.5668414	-1	23	22	-1
: Blood clots are thick and sticky clumps of dried blood	1066	0.04380313	-0.01160992	0.13189504	-10.024516	-0.9461189	-11.29982	0.13958046	0.0403203	-0.77526385	10	31	1	-1
the is influenced by the Pali and Prakrit languages	1022	-0.034889746	-0.05714832	0.23672459	-9.999051	5.838831	-13.851373	0.013419035	-0.39360848	-0.032598812	-1	10	21	28
we call the change in enthalpy during the fusion process as the heat of	1640	-0.042926017	-0.08642212	0.027142407	7.362883	4.366012	-9.537426	0.04646857	0.20691876	0.31770277	29	19	-1	22
, on the other hand , use a proprietary frequency and a dedicated cellular operator and the services are chargeable based on weekly or monthly plans . Cellular data plans usually have daily or monthly cap on the data consumption limit	1464	0.06456492	0.0031128235	-0.08660209	6.836182	-4.8410068	13.307243	-0.03388214	0.11587853	-0.28364325	17	-1	-1	-1
is basically a freeware that allows you to work with existing PDF files . It provides all the basic features to work efficiently with PDF documents such as web integration , documents printing and sharing , email support , sticky notes and highlighting , accessibility options , full-screen viewing , commenting , form completion , signing and certifying , and more	370	0.22277947	-0.11060356	-0.027989678	10.453773	-1.2755378	-3.580127	-0.6302469	0.30018723	0.13519903	-1	-1	-1	-1
is a long - term expenditure and therefore has a long - term effect on the business . It is not exhausted within a current accounting year . Additionally , its benefits will be received for some years	533	-0.08393627	0.08348289	0.07075702	-7.9272504	-13.15929	-2.289373	0.5797076	0.8118323	0.07734959	27	3	12	30
for an , owners are fully protected from liability that may be incurred by the business	1275	-0.13605107	-0.004479942	0.08525521	-7.2852993	-0.84665984	-0.2330255	0.14612238	0.45890114	0.2449673	-1	26	19	-1
in , natural phenomena leads to the change in climate	1978	-0.07144848	0.22293706	0.035947394	-15.916474	-6.953248	-1.9397957	0.13610943	0.26689744	0.29580536	-1	-1	-1	-1
the United States started as	1842	-0.04868356	-0.07068177	0.005789308	4.2530346	2.2124228	-12.793609	0.08883952	0.62181646	0.19948198	29	11	-1	19
are liquid	421	-0.06741149	0.0022769072	0.023492945	-10.446479	10.149297	7.479149	0.08217775	0.10806491	0.035083365	-1	9	20	17
a has a plural form such as books	1312	0.023049459	-0.040601246	-0.063843675	11.024672	9.9737	-3.89476	0.410271	-0.37549064	0.38533533	-1	20	22	10
example are – a rock , soil , etc	1521	-0.13464929	-0.05113953	-0.19226818	7.599947	3.419877	10.880661	0.46754375	-0.14161237	-0.21650943	-1	-1	-1	-1
july August are the months of monsoon rains in with strong summer months of May and June , while having harsh winters in December and January	1372	-0.0496056	-0.046205185	0.057498615	-10.694674	13.861688	4.463135	-0.122165814	-0.5818337	-0.041673146	25	9	-1	15
is a combination of wind , temperature , cloudiness , precipitation and visibility	640	0.057021804	-0.10499064	0.03440148	-4.4935207	11.937334	0.5163954	0.007881291	0.40537634	0.5355365	16	27	-1	33
holding someone , while can also be used for holding someone closely to themselves in an affectionate position for a longer time duration	1294	0.23927224	-0.016964162	-0.03322106	11.22483	-6.575357	2.3985891	-0.37662524	0.47676113	-0.40742105	8	7	-1	13
hypoglycaemia refers to an abnormally reduced level of sugar , or glucose , in the bloodstream	745	0.12776193	-0.0338156	-0.14647146	17.938404	-1.0301021	5.8580127	0.06707561	-0.23931336	0.23751318	9	1	-1	8
in , overheads are classified into fixed and variable overheads	1456	-0.092011645	0.16607681	0.008974063	-4.0022187	-6.741729	4.1001606	0.33520153	-0.3451252	0.47313684	23	25	22	34
moves from general premises to a specific conclusion	2064	-0.09839932	0.10675587	0.040951014	-11.260428	-8.082553	0.3317947	0.83606553	-0.32747635	0.32324752	-1	4	-1	-1
the of a function f(x ) concerning the variable x and according to the product rule will be defined as	739	-0.093428135	0.08502311	0.07885111	-8.199012	-13.087116	-1.7408898	0.5934966	0.81982815	0.05658224	27	3	12	30
differentiation	1001	-0.0908983	0.05623542	-0.12358076	-4.956074	-12.390103	9.77647	0.32542938	-0.55128884	-0.53716797	-1	29	6	-1
bali	76	0.042761736	0.126081	-0.027726704	1.0267602	-12.570107	-0.97540724	0.5733106	0.36191332	-0.25349274	14	5	-1	6
on having their basic teaching known to a person	1263	0.13844956	-0.042408835	-0.15386608	18.672823	-1.0892735	5.839704	-0.45311436	-0.12575243	0.24984407	9	1	-1	8
describes a temperature that is uncomfortably low for humans	1361	0.10453565	0.17402339	0.016809797	-3.2651873	-7.7811575	-8.060658	0.27078304	0.57829386	-0.47306135	11	37	-1	3
as for ’s beaches , many of them are more popular for their big waves as evidenced by its 33 surfing locations . As of October 2017 , Bali entertained as many as five million visitors and its Tourism Ministry is even aiming to attract 7 million foreign tourists in 2018 and 8 million in 2019	250	0.044742264	0.12214883	-0.028318135	1.2851055	-12.397859	-1.5842743	0.57758474	0.55254364	-0.24062343	14	5	-1	6
in the cost per unit is not affected by variances in the opening and closing stock	301	-0.099802054	0.16624041	0.01816492	-4.455867	-6.2585588	3.4561923	0.27499577	-0.25204018	0.7652483	23	25	-1	34
: Gout is a metabolic disease characterized by the accumulation of uric acid crystals in the joints	1502	-0.10695349	0.07421204	0.040801913	-10.690231	7.090762	6.000789	0.33679137	0.8572329	-0.6000017	26	9	-1	17
a needs to have trucks delivering coal to it on a daily basis	566	0.04403875	0.27009976	0.13665468	-16.157341	0.25350094	4.120306	0.43178856	-0.70219886	0.68510276	0	33	-1	20
primary election	178	0.2477559	-0.024631135	-0.029193638	12.58793	-6.6254287	-2.9452012	-0.5948542	0.107862964	-0.4054927	8	7	8	13
a to the canine family	80	0.1658336	-0.12065355	0.06868019	-0.14942522	10.55753	-14.719598	-0.60279465	0.36227295	0.6701785	-1	-1	9	-1
uses coal , a fossil fuel that is burned to produce heat	2016	0.24476391	-0.020565713	-0.03045627	13.448183	-6.786447	2.0548332	-0.5933587	0.29309902	-0.40821368	8	7	7	13
is a simple internet access protocol used for accessing emails on a remote server . It is more flexible and is ideal for users who access their emails from multiple devices or computers . As all messages are stored in folders on the email server , your configuration is synchronized across all devices meaning multiple programs can access the same account from multiple devices , all synchronized	1088	0.060069684	-0.08096846	-0.1443652	16.377472	2.8987184	4.5566297	-0.45889434	-0.271505	0.13580221	-1	0	-1	5
a is wide and has a small pouring lip	653	0.03646398	0.14151593	0.07585144	-13.45074	0.06243272	-3.2882686	-0.44949806	0.4861181	0.32894853	12	-1	2	32
( episteme )	56	0.045276795	0.2876531	0.15463006	-16.487463	0.09129296	4.6673026	0.41102314	-0.7567515	0.72125393	0	33	-1	20
there are newer	656	0.18636444	0.03747712	0.003736575	6.087283	-11.1191225	-7.735476	-0.055076588	0.4496422	-0.3584138	6	24	-1	11
coughing , wheezing and difficulty breathing is a symptom of	228	0.09300775	-0.012525044	-0.105058245	8.523164	-0.27787173	5.526387	-0.036607068	0.29890394	0.40036637	-1	18	19	-1
the	1384	-0.06614859	-0.06910376	-0.031295877	0.40791038	10.755482	8.551564	-0.20237628	0.117797315	0.14666109	-1	-1	-1	-1
allows swiping in four directions . In addition to opening the camera and unlocking the phone , swipe down to see notifications whereas swipe up to open the control center , which is another new feature of iOS 7	1601	-0.029358376	-0.17824973	-0.17173159	10.668211	12.900705	3.4504812	0.561889	-0.71997064	-0.1556347	4	15	4	7
use plaintains and cassavas as well as other ingredients	464	0.08990205	0.12276411	-0.030392548	-2.1976051	-6.009301	-7.7513876	0.4460671	0.4995217	-0.10320104	-1	37	13	3
an is like a relatively long term plan of action . When you aim , you try to see the bigger picture	860	0.10640402	0.088907994	-0.022103919	6.506814	-13.089674	-6.293695	0.5109449	0.5755862	-0.28372648	-1	-1	-1	-1
can affect people of all ages from infants to the elderly	465	0.039928727	-0.026341949	-0.11699719	8.389467	0.025217565	5.939065	0.2981308	0.29574332	0.40334937	-1	18	14	-1
omission or insufficient insulin	600	0.12393744	-0.03283413	-0.14661336	18.271738	-0.9484978	6.1775146	-0.04197646	-0.2393519	-0.34723663	9	1	-1	8
believe that the government should have a strong role in helping and supporting Americans . The intervention of the government in the public sphere includes the creation of regulation for businesses and for the health care system	1587	-0.019177938	-0.07758989	0.21237946	-10.205268	8.040304	-14.142789	-0.11744109	-0.33562583	-0.019086393	18	10	21	28
is obtained from coagulated milk , which sometimes may not have large amounts of fat molecules . In addition , tofu can sometimes be derived from cereals like soybeans , which are known to have low - fat content	1785	0.242094	-0.051331043	0.013149863	19.151064	-9.996111	-5.8494434	-0.5020574	-0.49340436	-0.40095675	7	6	5	14
can be somewhat of a problem to keep the programs organized when you have several	2023	0.07836546	-0.031314533	0.036691114	-5.900543	7.994443	2.8191705	0.23087607	0.11057104	-0.018122032	-1	-1	-1	-1
the change in enthalpy during vaporization is the heat of	1687	-0.047375415	-0.09123411	0.03086763	7.7549095	4.5885572	-9.468218	0.047622707	0.20764233	0.31468374	29	19	-1	22
this is not the same for , which has high calorie and low protein content hence exposing people to increased weight , which can result in lifestyle diseases	28	0.24809994	-0.024379956	-0.027790911	14.69676	-7.109359	-1.7500504	-0.5935527	0.10055933	-0.40287355	8	7	8	13
, on the other hand is usually a purified form of the fat . These usually come from plant sources	1302	0.10459245	0.006409435	-0.028944697	11.128906	-4.4671006	4.6233315	-0.053120237	0.286029	-0.56754035	-1	-1	-1	-1
is aged in charred oak barrels	1290	-0.11625676	0.06598236	-0.09788051	-6.154756	-12.15894	9.292242	0.2493165	-0.5369201	0.13303697	-1	29	-1	-1
can apply to a more widespread scope	1029	-0.010517201	-0.12506042	-0.0792375	8.029467	12.741951	5.6049705	-0.52230793	-1.1191224	0.28346875	-1	-1	-1	-1
is made from the sugarcane beets	1728	-0.07022613	0.035009395	0.07893807	-4.7477107	-1.0105897	0.26082006	0.28271845	0.06733254	0.21750745	-1	26	17	37
are the trimmed version of the headphones which make them portable enough to carry around with ease – be it on a morning run or while working out at the gym	1647	-0.15001284	-0.049306918	-0.1191933	3.0529938	8.332984	12.402137	0.36802858	0.035639543	0.22443171	-1	-1	17	-1
integration	749	-0.09210014	0.060369704	-0.12699123	-4.995053	-12.376448	9.723498	0.32956603	-0.5468034	-0.5304626	-1	29	6	-1
